"Fact","Fact Note","Pacific Grove city, California","Value Note for Pacific Grove city, California","Monterey city, California","Value Note for Monterey city, California","Marina city, California","Value Note for Marina city, California","King City city, California","Value Note for King City city, California","Greenfield city, California","Value Note for Greenfield city, California","Gonzales city, California","Value Note for Gonzales city, California"
"Median households income (in 2024 dollars), 2020-2024","","$106,065","","$102,846","","$95,955","","$66,761","","$84,740","","$77,672",""
"Per capita income in past 12 months (in 2024 dollars), 2020-2024","","$67,896","","$62,773","","$42,714","","$19,413","","$21,654","","$27,495",""
"Persons in poverty, percent","","7.6%","","9.8%","","12.2%","","23.0%","","11.4%","","6.4%",""
"Total employer establishments, 2023","","X","","X","","X","","X","","X","","X",""
"Total employment, 2023","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2023 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2022-2023","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2023","","X","","X","","X","","X","","X","","X",""
"All employer firms, Reference year 2022","","319","","1,450","","435","","177","","S","","55",""
"Men-owned employer firms, Reference year 2022","","S","","S","","S","","2","","S","","S",""
"Women-owned employer firms, Reference year 2022","","S","","902","","S","","141","","S","","15",""
"Minority-owned employer firms, Reference year 2022","","S","","261","","S","","S","","S","","26",""
"Nonminority-owned employer firms, Reference year 2022","","244","","969","","S","","97","","S","","13",""
"Veteran-owned employer firms, Reference year 2022","","S","","S","","S","","S","","S","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","239","","1,096","","S","","141","","S","","44",""
"Population per square mile, 2020","","5,265.2","","3,495.4","","2,510.0","","3,511.2","","6,498.6","","4,520.1",""
"Population per square mile, 2010","","5,250.5","","3,284.9","","2,219.8","","3,348.6","","7,648.1","","4,260.9",""
"Land area in square miles, 2020","","2.87","","8.65","","8.91","","3.80","","2.91","","1.91",""
"Land area in square miles, 2010","","2.86","","8.47","","8.88","","3.84","","2.14","","1.92",""
"FIPS Code","","""0654848""","","""0648872""","","""0645778""","","""0638520""","","""0630994""","","""0630392""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
